,precision,recall,f1-score,support
glioma,0.9607843137254902,0.9671052631578947,0.9639344262295082,152.0
healthy,0.9950738916256158,0.9853658536585366,0.9901960784313726,205.0
meningioma,0.9631901840490797,0.9691358024691358,0.9661538461538461,162.0
pituitary,1.0,1.0,1.0,184.0
accuracy,0.9815078236130867,0.9815078236130867,0.9815078236130867,0.9815078236130867
macro avg,0.9797620973500465,0.9804017298213917,0.9800710877036818,703.0
weighted avg,0.9816019534644049,0.9815078236130867,0.9815436016248075,703.0
